participant_code,session_key,module_id,section_id,question_id,answer_value,effort_rating,presented_at,answered_at,presented_epoch_ms,answered_epoch_ms,response_time_ms,response_time_seconds,flag
1,070a71b6-f34f-4aad-9f44-516cffa72e65,demographics,demographics-age,demographics-q1,12,5,2026-09-22T06:13:05.150000+00:00,2026-09-22T06:13:07.087000+00:00,,,1937,1.937,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,demographics,demographics-gender,demographics-q2,2,5,2026-09-22T06:13:09.646000+00:00,2026-09-22T06:13:10.702000+00:00,,,1056,1.056,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,demographics,demographics-role,demographics-q3,5,6,2026-09-22T06:13:12.702000+00:00,2026-09-22T06:13:13.246000+00:00,,,544,0.544,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,demographics,demographics-department,demographics-q4,3,6,2026-09-22T06:13:14.982000+00:00,2026-09-22T06:13:15.711000+00:00,,,729,0.729,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,demographics,demographics-socioeconomic-status,demographics-q5,5,7,2026-09-22T06:13:17.775000+00:00,2026-09-22T06:13:19.135000+00:00,,,1360,1.36,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,mecamh-sleep-quality,mecamh-sleep-quality-sleep-quality,mecamh-sleep-quality-q1,"{""mecamh-sleep-quality-q1-i0"":""1"",""mecamh-sleep-quality-q1-i1"":""2"",""mecamh-sleep-quality-q1-i2"":""3"",""mecamh-sleep-quality-q1-i3"":""4"",""mecamh-sleep-quality-q1-i4"":""5"",""mecamh-sleep-quality-q1-i5"":""5""}",7,2026-09-22T06:13:22.303000+00:00,2026-09-22T06:13:28.686000+00:00,,,6383,6.383,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,mecamh-coping-responses-and-climate-change,mecamh-coping-responses-and-climate-change-climate-change-worry-ojala-2012,mecamh-coping-responses-and-climate-change-q2,"{""mecamh-coping-responses-and-climate-change-q2-i0"":""1"",""mecamh-coping-responses-and-climate-change-q2-i1"":""1"",""mecamh-coping-responses-and-climate-change-q2-i2"":""1"",""mecamh-coping-responses-and-climate-change-q2-i3"":""1"",""mecamh-coping-responses-and-climate-change-q2-i4"":""1""}",7,2026-09-22T06:13:32.223000+00:00,2026-09-22T06:13:36.310000+00:00,,,4087,4.087,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,mecamh-coping-responses-and-climate-change,mecamh-coping-responses-and-climate-change-coping-responses-ojala-2012,mecamh-coping-responses-and-climate-change-q1,"{""mecamh-coping-responses-and-climate-change-q1-i0"":""1"",""mecamh-coping-responses-and-climate-change-q1-i1"":""2"",""mecamh-coping-responses-and-climate-change-q1-i2"":""3"",""mecamh-coping-responses-and-climate-change-q1-i3"":""4"",""mecamh-coping-responses-and-climate-change-q1-i4"":""5"",""mecamh-coping-responses-and-climate-change-q1-i5"":""5"",""mecamh-coping-responses-and-climate-change-q1-i6"":""1"",""mecamh-coping-responses-and-climate-change-q1-i7"":""2"",""mecamh-coping-responses-and-climate-change-q1-i8"":""3"",""mecamh-coping-responses-and-climate-change-q1-i9"":""4"",""mecamh-coping-responses-and-climate-change-q1-i10"":""5"",""mecamh-coping-responses-and-climate-change-q1-i11"":""5"",""mecamh-coping-responses-and-climate-change-q1-i12"":""1"",""mecamh-coping-responses-and-climate-change-q1-i13"":""1"",""mecamh-coping-responses-and-climate-change-q1-i14"":""1"",""mecamh-coping-responses-and-climate-change-q1-i15"":""1""}",7,2026-09-22T06:13:40.055000+00:00,2026-09-22T06:13:59.303000+00:00,,,19248,19.248,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,mecamh-climate-anxiety,mecamh-climate-anxiety-state-anxiety-modelled-on-the-stai,mecamh-climate-anxiety-q1,"{""mecamh-climate-anxiety-q1-i0"":""1"",""mecamh-climate-anxiety-q1-i1"":""1"",""mecamh-climate-anxiety-q1-i2"":""1"",""mecamh-climate-anxiety-q1-i4"":""1"",""mecamh-climate-anxiety-q1-i3"":""1"",""mecamh-climate-anxiety-q1-i6"":""1"",""mecamh-climate-anxiety-q1-i5"":""1""}",7,2026-09-22T06:14:03.599000+00:00,2026-09-22T06:14:11.127000+00:00,,,7528,7.528,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,mecamh-climate-anxiety,mecamh-climate-anxiety-anticipatory-traumatic-reaction-feelings-sub-scale-hopwood-et-al-2017,mecamh-climate-anxiety-q2,"{""mecamh-climate-anxiety-q2-i0"":""1"",""mecamh-climate-anxiety-q2-i1"":""2"",""mecamh-climate-anxiety-q2-i2"":""3"",""mecamh-climate-anxiety-q2-i3"":""4"",""mecamh-climate-anxiety-q2-i4"":""5"",""mecamh-climate-anxiety-q2-i5"":""5"",""mecamh-climate-anxiety-q2-i6"":""3"",""mecamh-climate-anxiety-q2-i7"":""3"",""mecamh-climate-anxiety-q2-i8"":""3"",""mecamh-climate-anxiety-q2-i9"":""3""}",6,2026-09-22T06:14:14.656000+00:00,2026-09-22T06:14:27.120000+00:00,,,12464,12.464,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-nutrition,hms-overall-health-q15,0,5,2026-09-22T06:14:32.336000+00:00,2026-09-22T06:14:34.096000+00:00,,,1760,1.76,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-nutrition,hms-overall-health-q11,1,5,2026-09-22T06:14:35.905000+00:00,2026-09-22T06:14:36.616000+00:00,,,711,0.711,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-nutrition,hms-overall-health-q12,0,6,2026-09-22T06:14:38.448000+00:00,2026-09-22T06:14:39.104000+00:00,,,656,0.656,
